Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,2.0,2.0,Queens,4.0,35.0,149.0,Y,40.58882,-73.79590999999998,11692,19681.0,18540.0,15893,153.9,1.0,0.1,19708,9165,10515,0.7,2506.0,2812.0,395793.0,44089.0,2519.0,612.0,896.0,1178608.0,9.5,7872.4,48,0.609725116,152.70212769999995,28.24324324,4.764705882,1.145833333,1.608695652,2.3125,2.3125
2.0,1.0,1.0,Brooklyn,2.0,24.0,30.0,Y,40.6768,-73.94004,11213,66372.0,63767.0,65440,173.7,1.1,0.0,60835,29805,36565,0.5,3246.0,3506.0,729875.0,39114.0,2772.0,788.0,1169.0,908087.0,6.9,26548.8,54,0.203399024,84.11538462,38.84,4.760416667,1.264150943,1.442307692,2.055555556,2.055555556
1.0,1.0,1.0,San Diego,2.0,16.0,68.0,Y,32.72828,-117.1272,92102,45420.0,43267.0,47123,134.1,4.6,0.0,9799,23694,21727,0.5,2211.0,852.0,360942.0,44226.0,1667.0,326.0,1141.0,401922.0,5.7,18168.0,438,2.410832232,130.0616114,53.12188366,4.85,1.240825688,1.6868686869999998,2.342465753,2.342465753
1.0,1.0,1.0,New York,2.0,18.0,250.0,Y,40.71312,-73.99033,10002,79216.0,81410.0,84870,171.8,0.9,0.0,90078,38185,41030,0.6,4071.0,3677.0,675823.0,37071.0,2282.0,453.0,950.0,730272.0,6.8,31686.4,199,0.6280296910000001,123.5128205,50.10404624,4.721875,1.102040816,1.203296703,1.497487437,1.497487437
3.0,2.0,3.0,Miami,6.0,39.0,169.0,Y,25.79224,-80.18551,33132,11596.0,11165.0,5322,114.1,1.7,1.5,6799,6803,4794,1.1,4922.0,5435.0,481478.0,72916.0,2660.0,1259.0,1893.0,530742.0,3.3,4638.4,1634,35.22766471,115.1635572,37.41294643,4.791763792,1.317596567,1.584033613,2.14504284,2.14504284
1.0,2.0,3.0,San Francisco,6.0,15.0,140.0,N,37.73263,-122.4414,94131,28756.0,26881.0,27897,157.2,2.1,0.0,13828,15744,13013,0.6,7754.0,3344.0,1130219.0,115691.0,3496.0,546.0,1975.0,1406358.0,3.4,11502.4,365,3.1732508,210.890411,72.40350877,4.920353982,1.257617729,1.629518072,1.917808219,1.917808219
1.0,1.0,1.0,Queens,1.0,158.0,55.0,Y,40.70823,-73.89925,11385,104854.0,98592.0,97524,156.7,3.6,0.0,29023,51713,53141,0.8,4255.0,4586.0,565054.0,63037.0,2677.0,770.0,1382.0,546760.0,4.7,41941.6,63,0.150208862,64.6557377,44.11111111,4.651162791,1.25,1.274193548,1.714285714,1.714285714
1.0,1.0,3.0,Queens,4.0,42.0,55.0,N,40.72651,-73.86173000000002,11374,43777.0,43600.0,44189,150.3,0.9,0.0,46660,20560,23215,1.1,3713.0,3977.0,331751.0,57854.0,1791.0,666.0,1436.0,872882.0,4.8,17510.8,56,0.31980263600000003,92.65454545,23.674418600000006,4.595238095,1.071428571,1.392156863,2.089285714,2.089285714
1.0,2.0,2.0,Philadelphia,6.0,131.0,219.0,Y,39.94366,-75.15861,19147,39405.0,36228.0,32680,107.6,1.4,0.2,27998,19454,19950,0.7,2742.0,2077.0,357612.0,72963.0,1694.0,497.0,1255.0,395531.0,4.8,15762.0,257,1.6305037430000002,96.79377432,58.45045045,4.830188679,1.245136187,1.545454545,1.984435798,1.984435798
1.0,1.0,1.0,San Francisco,2.0,14.0,155.0,Y,37.76042,-122.42574,94114,33984.0,31124.0,30574,156.5,1.4,0.0,23843,20028,13958,0.6,9677.0,3283.0,1278503.0,136895.0,3987.0,686.0,2024.0,1647458.0,2.9,13593.6,423,3.111758475,194.2116788,85.53246753,4.914728682,1.201946472,1.421052632,1.532846715,1.532846715
